mouse_id,session_id,cluster_id,best_channel,n_spikes,si,ssi,p_value
7010,m6,11,9,5773,0.0131716178415484,2.5317132666586595,0.016
7010,m6,12,9,7816,0.8608462225001039,29.03696858376105,0.0
7010,m6,13,9,15278,0.0064415634304228,1.735394190845544,0.053
7010,m6,14,9,10046,0.0307542003281478,14.438140795457963,0.0
7010,m6,15,11,33273,0.0056472830102165,8.661765117898344,0.0
7010,m6,16,11,87415,0.0027753335041752,3.0458979000793995,0.011
7010,m6,17,10,109661,0.0022414259979622,4.519151935623291,0.001
7010,m6,18,8,186858,0.0017596027030684,7.1291331929368456,0.0
7010,m6,20,13,22733,0.0074918313026082,8.931283922880704,0.001
7010,m6,21,14,89745,0.0095407619148559,17.62215927622406,0.0
7010,m6,22,14,66309,0.0060423174763893,3.208079825373904,0.002
7010,m6,23,14,49779,0.0065264440204281,5.778723402606663,0.0
7010,m6,24,16,29179,0.0038084906296404,4.6197313026137214,0.001
7010,m6,26,19,83480,0.0037659089801468,3.3707718073480804,0.003
7010,m6,27,19,83990,0.004093314433302,1.6158683814877544,0.054
7010,m6,28,17,45573,0.0048451077247644,2.446724010095583,0.015
7010,m6,29,16,89382,0.0019545215370597,5.059803920239607,0.0
7010,m6,30,22,41540,0.0131643921161881,19.51530439897357,0.0
7010,m6,32,22,51270,0.0080993766963694,16.133639137348847,0.0
7010,m6,33,20,21233,0.0086686454256021,3.9779210390015,0.003
7010,m6,45,25,21902,0.0155763105038323,16.619204241451904,0.0
7010,m6,47,29,65564,0.0030104871786857,3.362160435888732,0.002
7010,m6,50,29,56468,0.003831102464151,4.499418825934178,0.0
7010,m7,0,1,6628,0.0091339120676788,-0.0494482171273773,0.477
7010,m7,1,3,8261,0.0358357656648376,3.587064998414541,0.001
7010,m7,2,1,25368,0.0103550654531633,9.587817812897908,0.0
7010,m7,3,0,37991,0.0178814524029533,32.75791700285466,0.0
7010,m7,4,2,52427,0.0047017715549681,3.988731312525496,0.003
7010,m7,7,3,56913,0.0048862684714366,4.681031316229588,0.002
7010,m7,8,1,52038,0.0045696832374446,6.8271771210982255,0.0
7010,m7,9,2,65759,0.0022189057250253,2.861975697371749,0.013
7010,m7,11,3,62472,0.006156235350197,5.803984211621097,0.002
7010,m7,12,6,27271,0.0088869128640796,13.715554347211103,0.0
7010,m7,13,6,8452,0.0170991566058296,8.905438803228712,0.001
7010,m7,15,5,85755,0.0040502215299448,9.659148098837315,0.0
7010,m7,16,7,32966,0.004388394925577,4.097967777543445,0.002
7010,m7,18,10,1544,0.051677185020505,4.705798804382605,0.001
7010,m7,19,11,20729,0.0084490430334829,0.3109902901376902,0.346
7010,m7,20,11,50595,0.008734392425335,8.570730962774674,0.001
7010,m7,21,11,27969,0.015630431593358,29.6831034426607,0.0
7010,m7,22,10,54451,0.0044917652370374,6.727052618427234,0.001
7010,m7,23,9,16009,0.3005768361264079,83.15683677744373,0.0
7010,m7,24,8,97599,0.0039666145674344,10.122252838307604,0.0
7010,m7,25,10,87516,0.0029287052346744,8.340126217725592,0.0
7010,m7,26,8,72808,0.0024145325504879,3.23744548326746,0.006
7010,m7,27,10,27843,0.0162443296780395,12.198611551728566,0.001
7010,m7,28,9,18024,0.0345715656660599,27.52978117912892,0.0
7010,m7,29,9,25173,0.0124057441946008,5.892435461664919,0.0
7010,m7,30,8,63754,0.002970665059451,2.598854806954182,0.012
7010,m7,31,14,86282,0.0090346972974962,15.94542313848403,0.0
7010,m7,32,13,69167,0.0124012863676322,24.462292267783305,0.0
7010,m7,33,14,59742,0.0147950814770721,8.102607068972524,0.0
7010,m7,35,16,52447,0.0057975110408099,9.2118340677245,0.0
7010,m7,36,16,124920,0.0018911281493515,3.426186503742612,0.007
7010,m7,37,19,85522,0.0036876271684271,4.136210205793209,0.0
7010,m7,38,19,22145,0.0040318658716076,3.791037862615745,0.001
7010,m7,39,18,25032,0.0059249776784921,5.979114821013279,0.0
7010,m7,40,19,80704,0.0027562447087626,8.710723975906733,0.0
7010,m7,41,22,54710,0.0058824268655446,9.145505397650734,0.003
7010,m7,42,20,17676,0.0174061047818825,10.262949811183448,0.003
7010,m7,44,22,53418,0.0103711866876999,14.860772276746228,0.0
7010,m7,46,24,30114,0.0113003667412412,13.68540583645942,0.0
7010,m7,52,29,59116,0.0044878585684966,8.862087898758244,0.0
7010,m7,56,29,59488,0.0041800538215191,9.23229118353153,0.001
7010,m8,0,1,62474,0.0047921550836471,10.170284393227805,0.0
7010,m8,1,0,57207,0.0106796295485839,22.05944524570436,0.001
7010,m8,2,2,101831,0.0046001660670918,13.202988832892707,0.0
7010,m8,3,3,37127,0.0092385677693398,8.745607656180884,0.001
7010,m8,4,2,18780,0.006697036111776,6.544006499380074,0.001
7010,m8,5,3,57600,0.0062606649392847,12.856578413612452,0.001
